Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-12-08,2.375,-0.31676898882560683,-0.31676898882560683
2025-12-09,1.75,-0.6335379776512137,-0.6335379776512137
2025-12-10,3.875,0.4434765843558496,0.4434765843558496
2025-12-12,1.375,-0.8235993709465778,-0.8235993709465778
2025-12-15,0.875,-1.0770145620070632,-1.0770145620070632
2025-12-17,1.125,-0.9503069664768206,-0.9503069664768206
2025-12-19,1.75,-0.6335379776512137,-0.6335379776512137
2025-12-22,1.125,-0.9503069664768206,-0.9503069664768206
2025-12-24,0.375,-1.3304297530675488,-1.3304297530675488
2025-12-26,1.625,-0.6968917754163351,-0.6968917754163351
2025-12-29,1.375,-0.8235993709465778,-0.8235993709465778
2025-12-30,1.625,-0.6968917754163351,-0.6968917754163351
2025-12-31,3.125,0.06335379776512137,0.06335379776512137
